Metabolite,Neural Stem Cells,Astrocytes
Glucose,-256.3 ± 1.3,-175.7 ± 17.9
Lactate,237.8 ± 10.1,348.6 ± 9.6
Aspartate,-2.6 ± 0.7,-11.9 ± 5.8
Glutamate,-1.8 ± 0.4,-10.5 ± 3.4
Serine,-2.8 ± 1.4,-4.1 ± 1.7
Asparagine,-0.6 ± 0.3,-1.6 ± 0.3
Glycine,2.4 ± 1.1,NaN
Glutamine,26.1 ± 6.5,10.4 ± 2.2
Histidine,NaN,-3.4 ± 1.0
Threonine,NaN,0.9 ± 0.6
Arginine,NaN,1.7 ± 0.3
Alanine,9.0 ± 1.4,-6.6 ± 3.1
Proline,0.3 ± 0.1,NaN
Tyrosine,-3.3 ± 1.9,NaN
Valine,-3.0 ± 2.2,NaN
Methionine,-0.8 ± 0.4,-1.9 ± 0.3
Isoleucine,-3.7 ± 2.2,-1.5 ± 0.7
Leucine,-3.9 ± 2.3,NaN
Phenylalanine,NaN,2.1 ± 0.8
Citrate,NaN,6.6 ± 0.9
Pyruvate,-12.9 ± 5.1,-48.0 ± 4.4
