rxn_id,flux,experiment_id,flux_std_error
R72,22.042228192047777,simulation1,0.06612433903520454
ex_1,100.00418536464447,simulation1,0.3
ex_2,127.01035232672166,simulation1,0.3810333784000554
ex_3,108.81389949037131,simulation1,0.3264534018422943
R72,22.042827830392294,simulation2,0.06612433903520454
ex_1,100.00187361397616,simulation2,0.3
ex_2,127.01435813200521,simulation2,0.3810333784000554
ex_3,108.81165131698617,simulation2,0.3264534018422943
R72,22.041597412614575,simulation6,0.06612433903520454
ex_1,99.99957983333728,simulation6,0.3
ex_2,127.00613192379475,simulation6,0.3810333784000554
ex_3,108.81867939941644,simulation6,0.3264534018422943
